id,length,PKW_allowed
4479820#0_1,42.47,yes
4481729#0_0,76.37,yes
4483941#0_0,16.86,yes
4498076#1_0,76.59,yes
4498175#0_0,104.74,yes
4572089#0_1,74.4,yes
461211027_1,24.77,yes
461211028_1,15.48,yes
46656282#0_1,62.53,yes
4687935#0_1,78.34,yes
4727535_1,19.98,yes
4730406#0_1,81.93,yes
4730406#0.80_1,83.74,yes
4730408#2_1,262.78,yes
4730409#0_1,257.16,yes
4734972#0_0,32.31,yes
4734976#0_1,45.58,yes
4748724#0_0,88.39,yes
4748727_1,18.94,yes
48777366#0_1,60.4,yes
50003684#1_0,76.96,yes
50003684#1.78_0,117.4,yes
506482101#0_0,91.25,yes
5068112#0.550_1,67.21,yes
5079287#0_1,48.27,yes
51265912#1_1,105.42,yes
5198100#0_1,84.79,yes
522547661#0_0,79.1,yes
525958045#0_1,189.12,yes
526016651_1,67.74,yes
526016653#2_1,39.87,yes
532158277#0_1,86.89,yes
532158278#0_1,72.95,yes
53275982#0_1,15.59,yes
533775756#0_1,127.07,yes
534546682#0.18_1,40.79,yes
534851512#0_1,92.09,yes
536908725#0_0,77.62,yes
536908734#0_0,78.96,yes
543129612#0_0,117.81,yes
543698012#0_1,80.48,yes
543698043#0_0,69,yes
543888804#0_1,26.04,yes
543888805_1,100.99,yes
543888833#0_0,24,yes
543888898#0_0,158.02,yes
548370032_1,16.98,yes
548370037#0_1,55.72,yes
548372837#0_1,85.13,yes
548372838#0_1,87.6,yes
549020386#0_1,143.99,yes
549020386#1_1,65.65,yes
549356141#0_1,16.48,yes
549356141#1_1,13.22,yes
550432833#0_1,36.23,yes
559462255#0.13_1,77.62,yes
566100297#0_1,72.83,yes
566100297#2_1,20.95,yes
566100297#3_1,23.76,yes
566100297#4_1,45.33,yes
566100297#6_1,96.65,yes
569781024_1,199.81,yes
571372263#0_0,134.3,yes
5736332#0_0,57.6,yes
576802235_1,34.88,yes
5771348#0_1,51.13,yes
577246823#0_1,40.94,yes
577248827#1_1,70.14,yes
580414174_1,61.05,yes
582263960#0_0,66.96,yes
592017400_1,128.53,yes
593076011_1,30.15,yes
593076012#0_1,117.75,yes
593077123#0_1,134.94,yes
595805217_1,29.58,yes
596103315#0_1,146.65,yes
601313541_0,59.49,yes
601313557#0_1,75.73,yes
601313558#0_1,52.24,yes
601718666#0_1,93.77,yes
60447874#0_1,19.04,yes
60447874#2_1,171.49,yes
60447876#0_1,101.73,yes
60447877#0_1,31.12,yes
60447877#1_1,53.86,yes
609970340#0_0,35.88,yes
609970342#0_0,23.69,yes
64659700#3_0,92.43,yes
682608864#0_1,17.93,yes
682608864#1_1,12.93,yes
682608867_1,22.09,yes
69184467#1_1,31.03,yes
69537613_1,69.31,yes
71167245#0_1,12.16,yes
722646198_1,19.4,yes
77078537#0_1,54.28,yes
77079364#0_1,66.88,yes
77079366_1,90.85,yes
81286180_0,4.72,yes
81286180_1,4.72,yes
8139899#0_1,18.69,yes
8139899#1_1,66.03,yes
8143580#1_0,1.95,yes
8143580#1_1,1.95,yes
821493797#0_1,32.62,yes
828445693#1_1,98.24,yes
860373105#0_1,48.97,yes
860373105#1_1,40.49,yes
860373105#2_1,67.44,yes
86145636#0_0,101.82,yes
86145639#0_1,27.39,yes
86145639#1_1,57.97,yes
86145639#3_1,103.7,yes
92142136_1,79.71,yes
92142139_1,12.12,yes
95474067#0_1,70.78,yes
968872142#1_1,14.52,yes
970871269_1,128.75,yes
E102_0,109.68,yes
E103_0,85.34,yes
E104_0,60.92,yes
E106_0,50.51,yes
E107_0,24.8,yes
E114_0,19.47,yes
